player_id,player_name,week,carpet_points,clay_points,grass_points,hard_points
103656,Albert Montanes,9,0,20,0,0
103656,Albert Montanes,10,0,0,0,0
103656,Albert Montanes,11,0,0,0,0
103656,Albert Montanes,12,0,0,0,10
103656,Albert Montanes,13,0,0,0,0
103656,Albert Montanes,14,0,0,0,0
103656,Albert Montanes,15,0,180,0,0
103656,Albert Montanes,16,0,0,0,0
103656,Albert Montanes,17,0,620,0,0
103656,Albert Montanes,18,0,0,0,0
103656,Albert Montanes,19,0,45,0,0
103656,Albert Montanes,20,0,90,0,0
103656,Albert Montanes,21,0,0,0,0
103656,Albert Montanes,22,0,90,0,0
103656,Albert Montanes,23,0,0,0,0
103656,Albert Montanes,24,0,0,0,0
103656,Albert Montanes,25,0,0,0,0
103656,Albert Montanes,26,0,0,10,0
103656,Albert Montanes,27,0,0,0,0
103656,Albert Montanes,28,0,20,0,0
103656,Albert Montanes,29,0,20,0,0
103656,Albert Montanes,30,0,20,0,0
103656,Albert Montanes,31,0,180,0,0
103656,Albert Montanes,32,0,0,0,0
103656,Albert Montanes,33,0,0,0,20
103656,Albert Montanes,34,0,0,0,0
103656,Albert Montanes,35,0,0,0,10
103656,Albert Montanes,36,0,0,0,0
103656,Albert Montanes,37,0,45,0,0
103656,Albert Montanes,38,0,0,0,0
103656,Albert Montanes,39,0,0,0,0
103656,Albert Montanes,40,0,0,0,45
103656,Albert Montanes,41,0,0,0,0
103656,Albert Montanes,42,0,0,0,25
103656,Albert Montanes,43,0,0,0,45
103656,Albert Montanes,44,0,0,0,0
103656,Albert Montanes,45,0,0,0,0
103656,Albert Montanes,46,0,0,0,0
103656,Albert Montanes,47,0,0,0,0
103656,Albert Montanes,48,0,0,0,0
103656,Albert Montanes,49,0,0,0,0
103656,Albert Montanes,50,0,0,0,0
103656,Albert Montanes,51,0,0,0,0
103656,Albert Montanes,52,0,0,0,0
102287,Albert Portas,1,0,0,0,0
102287,Albert Portas,2,0,0,0,0
102287,Albert Portas,3,0,0,0,0
102287,Albert Portas,4,0,0,0,0
102287,Albert Portas,5,0,0,0,0
102287,Albert Portas,6,0,0,0,0
102287,Albert Portas,7,0,45,0,0
102287,Albert Portas,8,0,0,0,0
102287,Albert Portas,9,0,0,0,0
102287,Albert Portas,10,0,0,0,0
102287,Albert Portas,11,0,0,0,0
102287,Albert Portas,12,0,0,0,0
102287,Albert Portas,13,0,0,0,0
102287,Albert Portas,14,0,0,0,0
102287,Albert Portas,15,0,25,0,0
102287,Albert Portas,16,0,0,0,0
102287,Albert Portas,17,0,0,0,0
102287,Albert Portas,18,0,0,0,0
102287,Albert Portas,19,0,0,0,0
102287,Albert Portas,20,0,0,0,0
102287,Albert Portas,21,0,0,0,0
102287,Albert Portas,22,0,0,0,0
102287,Albert Portas,23,0,0,0,0
102287,Albert Portas,24,0,0,0,0
102287,Albert Portas,25,0,0,0,0
102287,Albert Portas,26,0,0,0,0
102287,Albert Portas,27,0,0,0,0
102287,Albert Portas,28,0,0,0,0
102287,Albert Portas,29,0,0,0,0
102287,Albert Portas,30,0,0,0,0
102287,Albert Portas,31,0,0,0,0
102287,Albert Portas,32,0,0,0,0
102287,Albert Portas,33,0,0,0,0
102287,Albert Portas,34,0,0,0,0
102287,Albert Portas,35,0,0,0,0
102287,Albert Portas,36,0,0,0,0
102287,Albert Portas,37,0,0,0,0
102287,Albert Portas,38,0,0,0,0
102287,Albert Portas,39,0,0,0,0
102287,Albert Portas,40,0,0,0,0
102287,Albert Portas,41,0,0,0,0
102287,Albert Portas,42,0,0,0,0
102287,Albert Portas,43,0,0,0,0
102287,Albert Portas,44,0,0,0,0
102287,Albert Portas,45,0,0,0,0
102287,Albert Portas,46,0,0,0,0
102287,Albert Portas,47,0,0,0,0
102287,Albert Portas,48,0,0,0,0
102287,Albert Portas,49,0,0,0,0
102287,Albert Portas,50,0,0,0,0
102287,Albert Portas,51,0,0,0,0
102287,Albert Portas,52,0,0,0,0
103252,Alberto Martin,1,0,0,0,20
103252,Alberto Martin,2,0,0,0,45
103252,Alberto Martin,3,0,0,0,10
103252,Alberto Martin,4,0,0,0,0
103252,Alberto Martin,5,0,0,0,0
103252,Alberto Martin,6,0,0,0,0
103252,Alberto Martin,7,0,20,0,0
103252,Alberto Martin,8,0,0,0,0
103252,Alberto Martin,9,0,20,0,0
103252,Alberto Martin,10,0,0,0,10
103252,Alberto Martin,11,0,0,0,0
103252,Alberto Martin,12,0,0,0,10
103252,Alberto Martin,13,0,0,0,0
103252,Alberto Martin,14,0,0,0,0
103252,Alberto Martin,15,0,90,0,0
103252,Alberto Martin,16,0,0,0,0
103252,Alberto Martin,17,0,65,0,0
103252,Alberto Martin,18,0,0,0,0
103252,Alberto Martin,19,0,0,0,0
103252,Alberto Martin,20,0,0,0,0
103252,Alberto Martin,21,0,0,0,0
103252,Alberto Martin,22,0,0,0,0
103252,Alberto Martin,23,0,0,0,0
103252,Alberto Martin,24,0,0,0,0
103252,Alberto Martin,25,0,0,0,0
103252,Alberto Martin,26,0,0,0,0
103252,Alberto Martin,27,0,0,0,0
103252,Alberto Martin,28,0,0,0,0
103252,Alberto Martin,29,0,0,0,0
103252,Alberto Martin,30,0,0,0,0
103252,Alberto Martin,31,0,0,0,0
103252,Alberto Martin,32,0,0,0,0
103252,Alberto Martin,33,0,0,0,0
103252,Alberto Martin,34,0,0,0,0
103252,Alberto Martin,35,0,0,0,0
103252,Alberto Martin,36,0,0,0,0
103252,Alberto Martin,37,0,0,0,0
103252,Alberto Martin,38,0,0,0,0
103252,Alberto Martin,39,0,0,0,0
103252,Alberto Martin,40,0,0,0,0
103252,Alberto Martin,41,0,0,0,0
103252,Alberto Martin,42,0,0,0,0
103252,Alberto Martin,43,0,0,0,0
103252,Alberto Martin,44,0,0,0,0
103252,Alberto Martin,45,0,0,0,0
103252,Alberto Martin,46,0,0,0,0
103252,Alberto Martin,47,0,0,0,0
103252,Alberto Martin,48,0,0,0,0
103252,Alberto Martin,49,0,0,0,0
103252,Alberto Martin,50,0,0,0,0
103252,Alberto Martin,51,0,0,0,0
103252,Alberto Martin,52,0,0,0,0
104268,Alejandro Falla,1,0,0,0,20
104268,Alejandro Falla,2,0,0,0,0
104268,Alejandro Falla,3,0,0,0,0
104268,Alejandro Falla,4,0,0,0,0
104268,Alejandro Falla,5,0,0,0,0
104268,Alejandro Falla,6,0,0,0,0
104268,Alejandro Falla,7,0,0,0,0
104268,Alejandro Falla,8,0,0,0,0
104268,Alejandro Falla,9,0,0,0,0
104268,Alejandro Falla,10,0,0,0,25
104268,Alejandro Falla,11,0,0,0,0
104268,Alejandro Falla,12,0,0,0,45
104268,Alejandro Falla,13,0,0,0,0
104268,Alejandro Falla,14,0,0,0,0
104268,Alejandro Falla,15,0,45,0,0
104268,Alejandro Falla,16,0,0,0,0
104268,Alejandro Falla,17,0,20,0,0
104268,Alejandro Falla,18,0,0,0,0
104268,Alejandro Falla,19,0,0,0,0
104268,Alejandro Falla,20,0,0,0,0
104268,Alejandro Falla,21,0,0,0,0
104268,Alejandro Falla,22,0,10,0,0
104268,Alejandro Falla,23,0,0,0,0
104268,Alejandro Falla,24,0,0,20,0
104268,Alejandro Falla,25,0,0,0,0
104268,Alejandro Falla,26,0,0,45,0
104268,Alejandro Falla,27,0,0,0,0
104268,Alejandro Falla,28,0,0,0,0
104268,Alejandro Falla,29,0,0,0,0
104268,Alejandro Falla,30,0,0,0,40
104268,Alejandro Falla,31,0,0,0,25
104268,Alejandro Falla,32,0,0,0,0
104268,Alejandro Falla,33,0,0,0,25
104268,Alejandro Falla,34,0,0,0,0
104268,Alejandro Falla,35,0,0,0,0
104268,Alejandro Falla,36,0,0,0,0
104268,Alejandro Falla,37,0,0,0,0
104268,Alejandro Falla,38,0,0,0,0
104268,Alejandro Falla,39,0,0,0,0
104268,Alejandro Falla,40,0,0,0,0
104268,Alejandro Falla,41,0,0,0,0
104268,Alejandro Falla,42,0,0,0,25
104268,Alejandro Falla,43,180,0,0,0
104268,Alejandro Falla,44,0,0,0,0
104268,Alejandro Falla,45,0,0,0,0
104268,Alejandro Falla,46,0,0,0,0
104268,Alejandro Falla,47,0,0,0,0
104268,Alejandro Falla,48,0,0,0,0
104268,Alejandro Falla,49,0,0,0,0
104268,Alejandro Falla,50,0,0,0,0
104268,Alejandro Falla,51,0,0,0,0
104268,Alejandro Falla,52,0,0,0,0
103035,Alessio Di Mauro,1,0,0,0,0
103035,Alessio Di Mauro,2,0,0,0,0
103035,Alessio Di Mauro,3,0,0,0,10
103035,Alessio Di Mauro,4,0,0,0,0
103035,Alessio Di Mauro,5,0,0,0,0
103035,Alessio Di Mauro,6,0,0,0,0
103035,Alessio Di Mauro,7,0,20,0,0
103035,Alessio Di Mauro,8,0,300,0,0
103035,Alessio Di Mauro,9,0,20,0,0
103035,Alessio Di Mauro,10,0,0,0,0
103035,Alessio Di Mauro,11,0,0,0,0
103035,Alessio Di Mauro,12,0,0,0,0
103035,Alessio Di Mauro,13,0,0,0,0
103035,Alessio Di Mauro,14,0,0,0,0
103035,Alessio Di Mauro,15,0,45,0,0
103035,Alessio Di Mauro,16,0,0,0,0
103035,Alessio Di Mauro,17,0,20,0,0
103035,Alessio Di Mauro,18,0,0,0,0
103035,Alessio Di Mauro,19,0,0,0,0
103035,Alessio Di Mauro,20,0,0,0,0
103035,Alessio Di Mauro,21,0,0,0,0
103035,Alessio Di Mauro,22,0,10,0,0
103035,Alessio Di Mauro,23,0,0,0,0
103035,Alessio Di Mauro,24,0,0,0,0
103035,Alessio Di Mauro,25,0,0,0,0
103035,Alessio Di Mauro,26,0,0,0,0
103035,Alessio Di Mauro,27,0,0,0,0
103035,Alessio Di Mauro,28,0,0,0,0
103035,Alessio Di Mauro,29,0,0,0,0
103035,Alessio Di Mauro,30,0,0,0,0
103035,Alessio Di Mauro,31,0,0,0,0
103035,Alessio Di Mauro,32,0,0,0,0
103035,Alessio Di Mauro,33,0,0,0,0
103035,Alessio Di Mauro,34,0,0,0,0
103035,Alessio Di Mauro,35,0,0,0,0
103035,Alessio Di Mauro,36,0,0,0,0
103035,Alessio Di Mauro,37,0,0,0,0
103035,Alessio Di Mauro,38,0,0,0,0
103035,Alessio Di Mauro,39,0,0,0,0
103035,Alessio Di Mauro,40,0,0,0,0
103035,Alessio Di Mauro,41,0,0,0,0
103035,Alessio Di Mauro,42,0,0,0,0
103035,Alessio Di Mauro,43,0,0,0,0
103035,Alessio Di Mauro,44,0,0,0,0
103035,Alessio Di Mauro,45,0,0,0,0
103035,Alessio Di Mauro,46,0,0,0,0
103035,Alessio Di Mauro,47,0,0,0,0
103035,Alessio Di Mauro,48,0,0,0,0
103035,Alessio Di Mauro,49,0,0,0,0
